,pagerank,in_degree,out_degree,net_flow,betweenness
Instacart,0.04482046292502448,2,0,2,0.0
Zillow,0.01884395726736291,0,0,0,0.0
Squarepoint,0.01884395726736291,0,0,0,0.0
Google,0.027419883110542435,2,1,1,0.0011074197120708748
Amazon,0.01884395726736291,0,8,-8,0.0
Uber,0.01884395726736291,0,6,-6,0.0
Meta,0.01884395726736291,0,3,-3,0.0
Spotify,0.01884395726736291,0,0,0,0.0
Block,0.01884395726736291,0,1,-1,0.0
Lyft,0.02151349496791416,1,0,1,0.0
Wayfair,0.02084611054277635,1,3,-2,0.0022148394241417496
Coursera,0.01884395726736291,0,0,0,0.0
NERA Intellectual Property Practice,0.01884395726736291,0,1,-1,0.0
Microsoft,0.02084611054277635,1,4,-3,0.0011074197120708748
X,0.01884395726736291,0,1,-1,0.0
Airbnb,0.01884395726736291,0,0,0,0.0
Netflix,0.024750345409991183,1,0,1,0.0
Vanguard,0.01884395726736291,0,0,0,0.0
Two Sigma,0.01884395726736291,0,0,0,0.0
LinkedIn,0.01884395726736291,0,0,0,0.0
Jane Street,0.01884395726736291,0,0,0,0.0
Susquehanna International Group,0.01884395726736291,0,0,0,0.0
TikTok,0.01884395726736291,0,0,0,0.0
Rivada Networks,0.01884395726736291,0,0,0,0.0
Gusto LLC,0.01884395726736291,0,1,-1,0.0
Opportunity Insights,0.01884395726736291,0,0,0,0.0
Barrenjoey,0.024183032668465408,1,0,1,0.0
Scale AI,0.02151349496791416,1,0,1,0.0
Stripe,0.02084611054277635,1,0,1,0.0
Circle,0.0348611834706704,1,0,1,0.0
DoorDash,0.023515648243327594,2,0,2,0.0
NERA Economic Consulting,0.0348611834706704,1,0,1,0.0
Indeed,0.024183032668465408,1,0,1,0.0
Academia,0.02770353948130532,2,0,2,0.0
Visa,0.0348611834706704,1,0,1,0.0
Cornerstone Research,0.02084611054277635,1,0,1,0.0
Convoy Inc,0.02084611054277635,1,0,1,0.0
Neural Sourcing,0.02151349496791416,1,0,1,0.0
Aampe,0.024750345409991183,1,0,1,0.0
Bureau of Economic Analysis (BEA),0.02770353948130532,2,0,2,0.0
CAFRAL (Reserve Bank of India),0.02084611054277635,1,0,1,0.0
Pinterest,0.024183032668465408,1,0,1,0.0
Foundry Gaming LLC,0.02084611054277635,1,0,1,0.0
Aspen Institute,0.0348611834706704,1,0,1,0.0
